# Version: v1.0.16-src
sample_run_id
Level,Yield,Projected Yield,Aligned,Error Rate,Intensity C1,%>=Q30
Read 1,437.80,437.80,1.03,0.33,334,94.15
Read 2 (I),20.84,20.84,0.00,nan,643,94.86
Read 3 (I),20.40,20.40,0.00,nan,646,79.75
Read 4,437.72,437.72,1.00,0.71,326,86.64
Non-indexed,875.52,875.52,1.01,0.52,330,90.40
Total,916.77,916.77,1.01,0.52,487,90.26


Read 1
Lane,Surface,Tiles,Density,Cluster PF,Phas/Prephas,Phasing Equation,Prephas Equation,Reads,Reads PF,%>=Q30,Yield,Cycles Error,Aligned,Error,Error (35),Error (75),Error (100),Intensity C1
6,2,56,2355 +/- 0,80.04 +/- 0.63,0.159 / 0.092,0.144*c + 1.560,0.066*c + 1.192,241.49,193.28,84.15,28.45,-,1.32 +/- 0.08,0.61 +/- 0.38,0.22 +/- 0.33,0.30 +/- 0.28,0.38 +/- 0.31,234 +/- 12
7,-,112,2355 +/- 0,79.17 +/- 3.05,0.164 / 0.089,0.140*c + 1.872,0.064*c + 1.285,482.99,382.38,82.78,56.29,147,1.37 +/- 0.05,0.55 +/- 0.14,0.18 +/- 0.19,0.28 +/- 0.15,0.31 +/- 0.13,216 +/- 19
7,1,56,2355 +/- 0,77.73 +/- 3.49,0.172 / 0.092,0.136*c + 2.106,0.061*c + 1.331,241.49,187.71,81.71,27.64,-,1.40 +/- 0.04,0.57 +/- 0.11,0.16 +/- 0.02,0.27 +/- 0.04,0.31 +/- 0.06,204 +/- 12
7,2,56,2355 +/- 0,80.61 +/- 1.55,0.156 / 0.087,0.144*c + 1.638,0.067*c + 1.240,241.49,194.67,83.82,28.65,-,1.34 +/- 0.04,0.53 +/- 0.17,0.21 +/- 0.27,0.29 +/- 0.20,0.31 +/- 0.17,227 +/- 18
8,-,112,2355 +/- 0,75.86 +/- 1.63,0.168 / 0.093,0.141*c + 1.900,0.063*c + 1.195,482.99,366.41,81.87,53.94,147,1.39 +/- 0.04,0.61 +/- 0.25,0.23 +/- 0.24,0.34 +/- 0.21,0.38 +/- 0.20,227 +/- 16
8,1,56,2355 +/- 0,74.88 +/- 1.72,0.175 / 0.097,0.138*c + 2.177,0.061*c + 1.310,241.49,180.84,79.09,26.62,-,1.41 +/- 0.05,0.70 +/- 0.16,0.23 +/- 0.04,0.38 +/- 0.09,0.43 +/- 0.11,216 +/- 11
8,2,56,2355 +/- 0,76.84 +/- 0.66,0.160 / 0.088,0.144*c + 1.623,0.065*c + 1.079,241.49,185.57,84.58,27.32,-,1.38 +/- 0.03,0.51 +/- 0.28,0.23 +/- 0.34,0.29 +/- 0.27,0.32 +/- 0.26,238 +/- 13
Extracted: 312
Called: 312
Scored: 312
